author_id,author_name
3312309,Yonantan Bisk
2109449533,Ralf Brown
144987107,Jamie Callan
145431806,Justine Cassell
1700007,Mona Diab
145472333,Fernando Diaz
1758714,Scott Fahlman
2260563,Robert Frederking
47070750,Daniel Fried
7661726,Alexander Hauptmann
7975935,Daphne Ippolito
1686960,Lori Levin
49192881,Lei Li
1706595,Teruko Mitamura
49933077,Louis-Philippe Morency
3407646,David Mortensen
1700325,Graham Neubig
144287919,Eric Nyberg
1723120,Kemal Oflazer
1681921,Bhiksha Raj
35959897,Carolyn Rosé
1783635,Alexander Rudnicky
2729164,Maarten Sap
1890127,Michael Shamos
153915824,Rita Singh
2268272,Emma Strubell
1724972,Alexander Waibel
1746678,Shinji Watanabe
2129663,Sean Welleck
143977260,Eric P. Xing
144628574,Chenyan Xiong
35729970,Yiming Yang
