schedule_title,course_number,title,units,section,day,begin,end,room,location,instructor
Summer One 2024,Course,Title,Units,Lec/Sec,Days,Begin,End,Bldg/Room,Location,Instructor(s)
Summer One 2024,48519,Architecture Design Studio: Thesis II/ Independent Project,VAR,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA
Summer One 2024,48599,Independent Study,3-9,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA
Summer One 2024,48600,ASO Studio General,18.0,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Arscott
Summer One 2024,,Master of Architecture,,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania","Bard, Gutschow, Anklesaria"
Summer One 2024,,Master of Urban Design,,B,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania","Bard, Gruber"
Summer One 2024,,Master of Advanced Architectural Design,,C,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania","Ficca, Bard"
Summer One 2024,48700,Practicum,0-36,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Cupkova
Summer One 2024,48703,Master's Project,18-36,R,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Instructor TBA
Summer One 2024,48704,Internship (MS & PhD),0-18,R,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania","Cochran, Lee, Bard, Loftness, Krishnamurti, Cupkova, Cardoso Llach"
Summer One 2024,48731,Sustainable Design Synthesis Prep,1-18,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Cochran
Summer One 2024,,,,B,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA
Summer One 2024,48732,Sustainable Design Synthesis,"0,12,24",A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Cupkova
Summer One 2024,48736,Master's Independent Study,0-99,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Loftness
Summer One 2024,,,,B,TBA,,,TBA,"Pittsburgh, Pennsylvania","Rehman, Cardoso Llach"
Summer One 2024,,,,C,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania","Lee, Cochran"
Summer One 2024,48769,Thesis/Project,VAR,C,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Cardoso Llach
Summer One 2024,48785,MAAD Research by Design Project,18.0,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Instructor TBA
Summer One 2024,48791,M.S. Project,0-99,A,TBA,,,TBA,"Pittsburgh, Pennsylvania","Krishnamurti, Kim"
Summer One 2024,48792,Ph.D. Independent Study,0-99,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Rehman
Summer One 2024,48793,Ph.D. Thesis,0-99,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA
Summer One 2024,48794,Graduate Reading and Research,"5,36,48",A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA
Summer One 2024,,,,R,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA
Summer One 2024,60399,Art History/Theory Independent Study,9.0,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Instructor TBA
Summer One 2024,60499,Studio Independent Study,5-10,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Cato
Summer One 2024,,Tropical Ecology,,S,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA
Summer One 2024,03132,Basic Science to Modern Medicine,9.0,S,MTWRF,02:00PM,03:20PM,CMU REMOTE,"Pittsburgh, Pennsylvania",Mccartney
Summer One 2024,03210,Independent Study,1-12,R,TBA,,,TBA,"Pittsburgh, Pennsylvania",Willard
Summer One 2024,03445,Undergraduate Research,1-18,S,TBA,,,TBA,"Pittsburgh, Pennsylvania",Willard
Summer One 2024,,,,W,TBA,,,DNM DNM,"Doha, Qatar",Instructor TBA
Summer One 2024,,,,X,TBA,,,DNM DNM,"Doha, Qatar",Instructor TBA
Summer One 2024,,,,Y,TBA,,,DNM DNM,"Doha, Qatar",Instructor TBA
Summer One 2024,03600,Biotechnology or Biopharmaceutical Engineering Internship,3.0,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania","McGuier, Brasier"
Summer One 2024,03699,MS Research,VAR,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Brasier
Summer One 2024,,,,R,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Brasier
Summer One 2024,03700,MS Thesis Research,6-36,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Brasier
Summer One 2024,,,,R,TBA,,,TBA,"Pittsburgh, Pennsylvania",Brasier
Summer One 2024,03900,Doctoral Thesis Research,5-36,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Hinman
Summer One 2024,,,,R,TBA,,,TBA,"Pittsburgh, Pennsylvania",Hinman
Summer One 2024,42300,Junior BME Research Project,3-12,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Zapanta
Summer One 2024,42400,Senior BME Research Project,3-18,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Zapanta
Summer One 2024,42790,Practicum in Biomedical Engineering,12.0,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Chalacheva
Summer One 2024,42799,Directed Study,3-9,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Rakach
Summer One 2024,42882,Tissue Engineering,12.0,A,W,07:00PM,08:30PM,CMU REMOTE,Unknown Location,Palchesko
Summer One 2024,42890,M.S. Research,9-48 4,R,TBA,,,TBA,"Pittsburgh, Pennsylvania",Rakach
Summer One 2024,42899,M.S. Research Final Report,0.0,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Rakach
Summer One 2024,42990,Ph.D. Thesis Research,3-48,R,TBA,,,TBA,"Pittsburgh, Pennsylvania",Rakach
Summer One 2024,42997,Ph.D. Qualifying Examination,0.0,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Chase
Summer One 2024,42998,Ph.D. Proposal,0.0,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Rakach
