schedule_title,course_number,title,units,section,day,begin,end,room,location,instructor
Fall 2023,Course,Title,Units,Lec/Sec,Days,Begin,End,Bldg/Room,Location,Instructor(s)
Fall 2023,48050,Study Abroad,0.0,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Instructor TBA
Fall 2023,48095,Spatial Concepts for Non-Architecture Majors,10.0,A,TR,01:00PM,02:50PM,CFA 211,"Pittsburgh, Pennsylvania",Barbuto
Fall 2023,48100,Architecture Design Studio: POIESIS STUDIO 1,15.0,Lec,MWF,02:00PM,04:50PM,MM A14,"Pittsburgh, Pennsylvania",McFarland
Fall 2023,,,,A,MWF,02:00PM,04:50PM,CFA 200,"Pittsburgh, Pennsylvania",Markiewicz
Fall 2023,,,,B,MWF,02:00PM,04:50PM,CFA 200,"Pittsburgh, Pennsylvania",Tarannum
Fall 2023,,,,C,MWF,02:00PM,04:50PM,CFA 200,"Pittsburgh, Pennsylvania",Rafson
Fall 2023,,,,D,MWF,02:00PM,04:50PM,CFA 200,"Pittsburgh, Pennsylvania",Wood-Sternburgh
Fall 2023,,,,E,MWF,02:00PM,04:50PM,CFA 200,"Pittsburgh, Pennsylvania",Instructor TBA
Fall 2023,,,,F,MWF,02:00PM,04:50PM,CFA 200,"Pittsburgh, Pennsylvania",Instructor TBA
Fall 2023,,,,G,MWF,02:00PM,04:50PM,CFA 200,"Pittsburgh, Pennsylvania",Instructor TBA
Fall 2023,48104,Shop Skills,VAR,A1,MW,10:00AM,10:50AM,CFA A9,"Pittsburgh, Pennsylvania",Holmes
Fall 2023,,,,A2,MW,10:00AM,10:50AM,CFA A9,"Pittsburgh, Pennsylvania",Holmes
Fall 2023,,,,B1,MW,11:00AM,11:50AM,CFA A9,"Pittsburgh, Pennsylvania",Holmes
Fall 2023,,,,B2,MW,11:00AM,11:50AM,CFA A9,"Pittsburgh, Pennsylvania",Holmes
Fall 2023,,,,C1,MW,06:00PM,06:50PM,CFA A9,"Pittsburgh, Pennsylvania",Sontag
Fall 2023,,,,C2,MW,06:00PM,06:50PM,CFA A9,"Pittsburgh, Pennsylvania",Sontag
Fall 2023,,,,D1,MW,07:30PM,08:20PM,CFA A9,"Pittsburgh, Pennsylvania",Sontag
Fall 2023,,,,D2,MW,07:30PM,08:20PM,CFA A9,"Pittsburgh, Pennsylvania",Sontag
Fall 2023,,,,E2,TR,03:00PM,03:50PM,CFA A9,"Pittsburgh, Pennsylvania",Holmes
Fall 2023,48116,Introduction to Building Performance,3.0,A,T,11:00AM,12:20PM,MM 303,"Pittsburgh, Pennsylvania",Sawyer
Fall 2023,48200,Architecture Design Studio: POIESIS STUDIO 3,18.0,Lec,MWF,02:00PM,04:50PM,MM A14,"Pittsburgh, Pennsylvania",Garofalo
Fall 2023,,,,A,MWF,02:00PM,04:50PM,CFA 200,"Pittsburgh, Pennsylvania",Bista
Fall 2023,,,,B,MWF,02:00PM,04:50PM,CFA 200,"Pittsburgh, Pennsylvania",Kwon
Fall 2023,,,,C,MWF,02:00PM,04:50PM,CFA 200,"Pittsburgh, Pennsylvania",Patel
Fall 2023,,,,D,MWF,02:00PM,04:50PM,CFA 200,"Pittsburgh, Pennsylvania",Rodriguez Ladron De Guevara
Fall 2023,,,,E,MWF,02:00PM,04:50PM,CFA 200,"Pittsburgh, Pennsylvania",Schmidt
Fall 2023,48215,Materials & Assembly,9.0,A,MWF,10:00AM,10:50AM,POS 151,"Pittsburgh, Pennsylvania",Damiani
Fall 2023,48222,"Explorations in Craft: Soft Forms, Stable Structures",9.0,A,WF,11:00AM,12:20PM,CFA 206A,"Pittsburgh, Pennsylvania",Garofalo
Fall 2023,48250,Urbanism and the Social Production of Space,9.0,A,TR,09:30AM,10:50AM,MM 303,"Pittsburgh, Pennsylvania",Kwon
Fall 2023,48300,Architecture Design Studio: Praxis Studio 1,18.0,Lec,MWF,02:00PM,04:50PM,MM A14,"Pittsburgh, Pennsylvania",Bizon
Fall 2023,,,,A,MWF,02:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania","Abraham, Achnani, Sindi, Tannir"
Fall 2023,,,,B,MWF,02:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania",Achnani
Fall 2023,,,,C,MWF,02:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania",Sindi
Fall 2023,,,,D,MWF,02:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania",Tannir
Fall 2023,48307,Carnival Pavilion,VAR,A1,W,07:00PM,08:20PM,CFA 211,"Pittsburgh, Pennsylvania",Achnani
Fall 2023,,,,A2,W,07:00PM,08:20PM,CFA 211,"Pittsburgh, Pennsylvania",Khan
Fall 2023,,,,B2,W,07:00PM,08:20PM,CFA 211,"Pittsburgh, Pennsylvania",Achnani
Fall 2023,48310,Prototyping Stories: Experimental Children's Book and Vis Dev as An Architectura,9.0,A,M,11:00AM,12:20PM,CFA 211,"Pittsburgh, Pennsylvania",Yang
Fall 2023,48315,Environment I: Climate & Energy in Architecture,9.0,Lec,TR,03:30PM,04:50PM,MM 103,"Pittsburgh, Pennsylvania","Loftness, Li"
Fall 2023,,,,A,T,11:00AM,12:20PM,MM 107,"Pittsburgh, Pennsylvania","Loftness, Li"
Fall 2023,,,,B,T,07:00PM,08:20PM,MM 103,"Pittsburgh, Pennsylvania","Loftness, Li"
Fall 2023,48356,Color Drawing,9.0,A,W,08:00AM,10:50AM,CFA 211,"Pittsburgh, Pennsylvania",Cooper
Fall 2023,48374,History of Architecture in the Islamic World- A Primer,9.0,A,MW,09:30AM,10:50AM,MM 409,"Pittsburgh, Pennsylvania",Torello
Fall 2023,48386,PORTFOLIO & RESUME PREPARATION (UG),3.0,A1,F,11:00AM,12:20PM,MM 409,"Pittsburgh, Pennsylvania",Abraham
Fall 2023,48400,Architecture Design Studio: Praxis Studio 3,18.0,Lec,TR,01:00PM,03:20PM,MM 103,"Pittsburgh, Pennsylvania",Damiani
Fall 2023,,,,A,TR,01:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania",Cochran
Fall 2023,,,,B,TR,01:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania",Damiani
Fall 2023,,,,C,TR,01:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania",Lee
Fall 2023,,,,D,TR,01:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania",Instructor TBA
Fall 2023,,,,E,TR,01:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania",Instructor TBA
Fall 2023,48409,History and Future of Interaction Design,9.0,A,MW,11:00AM,12:20PM,MM 107,"Pittsburgh, Pennsylvania",Pangaro
Fall 2023,48432,Environment II: Design Integration of Active Building Systems,9.0,A,TR,09:30AM,10:50AM,MM 103,"Pittsburgh, Pennsylvania",Baird
Fall 2023,48434,Aztec to Zacatecas: Mesoamerican & Spanish Colonial Arch of Mexico & Guatemala,9.0,A,TR,11:00AM,12:20PM,CFA 102,"Pittsburgh, Pennsylvania",Shaw
Fall 2023,48490,Undergraduate Internship,3.0,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Instructor TBA
Fall 2023,48500,Advanced Synthesis Options Studio,"0,18",Lec,TR,01:00PM,03:20PM,MM 103,"Pittsburgh, Pennsylvania",Arscott
Fall 2023,,,,A,TR,01:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania",Arscott
Fall 2023,,,,B,TR,01:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania",Byrne
Fall 2023,,,,C,TR,01:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania",Chen
Fall 2023,,,,D,TR,01:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania",Ficca
