schedule_title,course_number,title,units,section,day,begin,end,room,location,instructor
Spring 2024,Course,Title,Units,Lec/Sec,Days,Begin,End,Bldg/Room,Location,Instructor(s)
Spring 2024,48105,Architecture Design Studio: Poiesis Studio 2,15.0,Lec,MWF,02:00PM,04:50PM,MM A14,"Pittsburgh, Pennsylvania",Yang
Spring 2024,,,,A,MWF,02:00PM,04:50PM,CFA 200,"Pittsburgh, Pennsylvania",Abraham
Spring 2024,,,,B,MWF,02:00PM,04:50PM,CFA 200,"Pittsburgh, Pennsylvania",McFarland
Spring 2024,,,,C,MWF,02:00PM,04:50PM,CFA 200,"Pittsburgh, Pennsylvania",Saleh
Spring 2024,,,,D,MWF,02:00PM,04:50PM,CFA 200,"Pittsburgh, Pennsylvania",Jno Baptiste
Spring 2024,48111,Exploring Pittsburgh,3.0,A,F,09:00AM,11:50AM,CFA 214,"Pittsburgh, Pennsylvania",Torello
Spring 2024,,,,B,F,09:00AM,11:50AM,CFA 214,"Pittsburgh, Pennsylvania",Torello
Spring 2024,48112,Digital Fabrication Skills,2.0,A3,T,02:00PM,03:20PM,DNM DNM,"Pittsburgh, Pennsylvania",Sontag
Spring 2024,,,,A4,T,02:00PM,03:20PM,DNM DNM,"Pittsburgh, Pennsylvania",Sontag
Spring 2024,48205,Architecture Options Studios,18.0,Lec,MWF,02:00PM,04:50PM,MM 103,"Pittsburgh, Pennsylvania",Arscott
Spring 2024,,,,A,MWF,02:00PM,04:50PM,CFA 200,"Pittsburgh, Pennsylvania",Anklesaria
Spring 2024,,,,B,TR,01:00PM,04:50PM,CFA 200,"Pittsburgh, Pennsylvania",Issaias
Spring 2024,,,,C,TR,01:00PM,04:50PM,CFA 200,"Pittsburgh, Pennsylvania",Lee
Spring 2024,,,,D,MWF,02:00PM,04:50PM,CFA 200,"Pittsburgh, Pennsylvania",Patel
Spring 2024,,,,E,MWF,02:00PM,04:50PM,CFA 200,"Pittsburgh, Pennsylvania",Sindi
Spring 2024,48234,Introduction to Structures,3.0,A3,W,11:00AM,12:20PM,MM 303,"Pittsburgh, Pennsylvania",Segal
Spring 2024,,,,B3,W,12:30PM,01:50PM,MM 303,"Pittsburgh, Pennsylvania",Segal
Spring 2024,48240,"History of World Architecture, I",9.0,A,TR,11:00AM,12:20PM,MM A14,"Pittsburgh, Pennsylvania",Shaw
Spring 2024,48241,History of Modern Architecture,9.0,A,MWF,10:00AM,10:50AM,MM A14,"Pittsburgh, Pennsylvania",Gutschow
Spring 2024,48305,Architecture Design Studio: Praxis Studio 2,18.0,Lec,MWF,02:00PM,04:50PM,POS 146,"Pittsburgh, Pennsylvania",Ficca
Spring 2024,,,,A,MWF,02:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania",Achnani
Spring 2024,,,,B,MWF,02:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania",Cochran
Spring 2024,,,,C,MWF,02:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania",Kwon
Spring 2024,,,,D,MWF,02:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania",King
Spring 2024,,Unsettling Ground- Retiring the God View,,A,M,10:00AM,12:50PM,MM 303,"Pittsburgh, Pennsylvania",Sindi
Spring 2024,,Material Regeneration,,B,W,09:00AM,11:50AM,MM 321,"Pittsburgh, Pennsylvania",Kwon
Spring 2024,,A Multiple-Making Approach to Inquiry in Craft + Computation,,C,F,09:00AM,12:20PM,MM C4,"Pittsburgh, Pennsylvania",Noel
Spring 2024,48317,The Chair,9.0,A,MF,10:00AM,11:50AM,CFA 211,"Pittsburgh, Pennsylvania",Achnani
Spring 2024,48318,Discourse and Praxis in the Climate Emergency,VAR,A3,M,11:00AM,12:20PM,MM 307,"Pittsburgh, Pennsylvania",Anklesaria
Spring 2024,48324,Structural Design 1: Form and Forces,6.0,A,TR,11:00AM,12:20PM,GHC 4307,"Pittsburgh, Pennsylvania",Lee
Spring 2024,48328,Detailing Architecture,9.0,A,F,09:30AM,12:20PM,MM 307,"Pittsburgh, Pennsylvania",Damiani
Spring 2024,48355,Perspective,9.0,A,R,02:00PM,04:50PM,CFA 206A,"Pittsburgh, Pennsylvania",Cooper
Spring 2024,48367,Material Histories,9.0,A,MW,11:00AM,12:20PM,MM 409,"Pittsburgh, Pennsylvania",Torello
Spring 2024,48380,Constructing Value(s): Economies of Design,6.0,A,T,09:00AM,10:50AM,CFA 214,"Pittsburgh, Pennsylvania",Volcy
Spring 2024,48381,Issues of Practice,6.0,A,R,10:00AM,11:50AM,MM 103,"Pittsburgh, Pennsylvania",Coppedge
Spring 2024,48383,Ethics and Decision Making in Architecture,6.0,A,T,10:00AM,11:50AM,MM 103,"Pittsburgh, Pennsylvania",Vavasis
Spring 2024,48410,Advanced Synthesis Options Studio II,18.0,Lec,TR,01:00PM,04:50PM,POS 146,"Pittsburgh, Pennsylvania",Arscott
Spring 2024,,,,A,TR,01:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania",Bista
Spring 2024,,,,B,TR,01:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania",Bizon
Spring 2024,,,,C,TR,01:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania",Cupkova
Spring 2024,,,,D,TR,01:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania",Damiani
Spring 2024,,,,E,TR,01:00PM,04:50PM,CFA 200,"Pittsburgh, Pennsylvania",Garofalo
Spring 2024,,,,F,TR,01:00PM,04:50PM,CFA 200,"Pittsburgh, Pennsylvania",Hayes
Spring 2024,,,,G,TR,01:00PM,04:50PM,CFA 200,"Pittsburgh, Pennsylvania",Lee
Spring 2024,48425,EX-CHANGE: Exhibition & Publication in Practice,3.0,A,MW,09:00AM,09:50AM,MM 307,"Pittsburgh, Pennsylvania",Rafson
Spring 2024,48435,Modern Mexico & Guatemala: 19th-21st Century Architecture,9.0,A,TR,03:30PM,04:50PM,CFA 102,"Pittsburgh, Pennsylvania",Shaw
Spring 2024,48442,History of Asian Architecture,9.0,A,MW,11:00AM,12:20PM,CMU REMOTE,"Pittsburgh, Pennsylvania",Chen
Spring 2024,48467,Design Build Elective,VAR,A,TR,01:00PM,02:20PM,CFA 200,"Pittsburgh, Pennsylvania",Lee
Spring 2024,48485,Design and Documentation in Revit,3.0,A,M,09:30AM,10:50AM,MM A11,"Pittsburgh, Pennsylvania",Sawyer
Spring 2024,48497,Pre-Thesis,3.0,A,W,10:00AM,10:50AM,CFA 211,"Pittsburgh, Pennsylvania",Arscott
Spring 2024,,,,B,W,09:00AM,09:50AM,CFA 211,"Pittsburgh, Pennsylvania",Arscott
Spring 2024,48510,Advanced Synthesis Options Studio IV,18.0,Lec,TR,01:00PM,04:50PM,MM 103,"Pittsburgh, Pennsylvania",Arscott
Spring 2024,,,,A,TR,01:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania",Bista
Spring 2024,,,,B,TR,01:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania",Bizon
Spring 2024,,,,C,TR,01:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania",Cupkova
