schedule_title,course_number,title,units,section,day,begin,end,room,location,instructor
Summer Two 2024,Course,Title,Units,Lec/Sec,Days,Begin,End,Bldg/Room,Location,Instructor(s)
Summer Two 2024,48731,Sustainable Design Synthesis Prep,1-18,U,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA
Summer Two 2024,60590,Internship,1-9,U,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Instructor TBA
Summer Two 2024,03124,Modern Biology Laboratory,9.0,U,MW,12:00PM,02:50PM,MI SOCIAL,"Pittsburgh, Pennsylvania",Doonan
Summer Two 2024,03132,Basic Science to Modern Medicine,9.0,U,MTWRF,02:00PM,03:20PM,WEH 5202,"Pittsburgh, Pennsylvania",Mccartney
Summer Two 2024,03133,Neurobiology of Disease,9.0,U,MTWRF,11:00AM,12:20PM,DH 1211,"Pittsburgh, Pennsylvania",Brasier
Summer Two 2024,03210,Independent Study,1-12,U,TBA,,,TBA,"Pittsburgh, Pennsylvania",Willard
Summer Two 2024,03232,Biochemistry I,9.0,U,MTWRF,12:30PM,01:50PM,WEH 4709,"Pittsburgh, Pennsylvania",Rule
Summer Two 2024,03445,Undergraduate Research,1-18,U,TBA,,,TBA,"Pittsburgh, Pennsylvania",Willard
Summer Two 2024,47995,Graduate Reading & Research,"12,36",U,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Rapp
Summer Two 2024,47998,Tepper PhD Internship,3-36,U,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Instructor TBA
Summer Two 2024,09050,Study Abroad,0.0,U,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Stump
Summer Two 2024,09105,Introduction to Modern Chemistry I,10.0,U,MTWRF,11:00AM,12:20PM,DH 2302,"Pittsburgh, Pennsylvania",Sherwood
Summer Two 2024,09218,Organic Chemistry II,9.0,U,MTWRF,11:00AM,12:20PM,DH 1112,"Pittsburgh, Pennsylvania",Instructor TBA
Summer Two 2024,09435,Independent Study Chemistry,1.0 - 12.0,U,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Stump
Summer Two 2024,09445,Undergraduate Research,3-18,U,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Stump
Summer Two 2024,09861,Chemical Research,0-99,U,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Noonan
Summer Two 2024,09871,Doctoral Dissertation,5.0,U,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Noonan
Summer Two 2024,15112,Fundamentals of Programming and Computer Science,12.0,U,MTWRF,11:00AM,12:20PM,SH 105,"Pittsburgh, Pennsylvania",Sands
Summer Two 2024,15122,Principles of Imperative Computation,12.0,U,MTWRF,09:30AM,10:50AM,TEP 1403,"Pittsburgh, Pennsylvania",Kohlbrenner
Summer Two 2024,54495,Internship,9-36,U,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA
Summer Two 2024,18990,Reading and Research,0-48,U,TBA,,,TBA,"Pittsburgh, Pennsylvania",Bain
Summer Two 2024,19798,Reading and Research: Thesis Research,"5,18,36",U,TBA,,,TBA,"Pittsburgh, Pennsylvania","Matthews, Muller"
Summer Two 2024,76221,Books You Should Have Read By Now,9.0,U,MTWRF,09:30AM,10:50AM,PH 126A,"Pittsburgh, Pennsylvania",Jo
Summer Two 2024,76245,Shakespeare: Tragedies & Histories,9.0,U,MTWRF,03:30PM,04:50PM,CMU REMOTE,"Pittsburgh, Pennsylvania",Wittek
